%time,field.clock
1000000,1000000
2000000,2000000
3000000,3000000
4000000,4000000
5000000,5000000
6000000,6000000
7000000,7000000
8000000,8000000
9000000,9000000
10000000,10000000
11000000,11000000
12000000,12000000
13000000,13000000
14000000,14000000
15000000,15000000
16000000,16000000
17000000,17000000
18000000,18000000
19000000,19000000
20000000,20000000
21000000,21000000
22000000,22000000
23000000,23000000
24000000,24000000
25000000,25000000
26000000,26000000
27000000,27000000
28000000,28000000
29000000,29000000
30000000,30000000
31000000,31000000
32000000,32000000
33000000,33000000
34000000,34000000
35000000,35000000
36000000,36000000
37000000,37000000
38000000,38000000
39000000,39000000
40000000,40000000
41000000,41000000
42000000,42000000
43000000,43000000
44000000,44000000
45000000,45000000
46000000,46000000
47000000,47000000
48000000,48000000
49000000,49000000
50000000,50000000
51000000,51000000
52000000,52000000
53000000,53000000
54000000,54000000
55000000,55000000
56000000,56000000
57000000,57000000
58000000,58000000
59000000,59000000
60000000,60000000
61000000,61000000
62000000,62000000
63000000,63000000
64000000,64000000
65000000,65000000
66000000,66000000
67000000,67000000
68000000,68000000
69000000,69000000
70000000,70000000
71000000,71000000
72000000,72000000
73000000,73000000
74000000,74000000
75000000,75000000
76000000,76000000
77000000,77000000
78000000,78000000
79000000,79000000
80000000,80000000
81000000,81000000
82000000,82000000
83000000,83000000
84000000,84000000
85000000,85000000
86000000,86000000
87000000,87000000
88000000,88000000
89000000,89000000
90000000,90000000
91000000,91000000
92000000,92000000
93000000,93000000
94000000,94000000
95000000,95000000
96000000,96000000
97000000,97000000
98000000,98000000
99000000,99000000
100000000,100000000
101000000,101000000
102000000,102000000
103000000,103000000
104000000,104000000
105000000,105000000
106000000,106000000
107000000,107000000
108000000,108000000
109000000,109000000
110000000,110000000
111000000,111000000
112000000,112000000
113000000,113000000
114000000,114000000
115000000,115000000
116000000,116000000
117000000,117000000
118000000,118000000
119000000,119000000
120000000,120000000
121000000,121000000
122000000,122000000
123000000,123000000
124000000,124000000
125000000,125000000
126000000,126000000
127000000,127000000
128000000,128000000
129000000,129000000
130000000,130000000
131000000,131000000
132000000,132000000
133000000,133000000
134000000,134000000
135000000,135000000
136000000,136000000
