num,send_time,sender,troughput,head,lat_id,long_id
1,0.0305671,1714636915,0.0144818,270,21.4421,-0
2,0.0313522,1365180540,0.0282383,180,0,0
3,0.0314967,1540383426,0.0421631,180,0,0
4,0.0338438,1681692777,0.0523188,270,31.4413,-0
5,0.0338649,304089172,0.0653578,180,4.67368e-310,4.67368e-310
6,0.0344995,1303455736,0.0769866,180,0,0
7,0.034736,2044897763,0.0892062,180,0,0
8,0.0347767,1957747793,0.101831,270,11.4424,-0
9,0.0347998,424238335,0.114484,180,0,0
10,0.0358202,783368690,0.12358,180,0,0
11,0.0364817,1649760492,0.133473,180,6.20153e-91,1.17119e+166
12,0.0367888,1350490027,0.144392,180,0,0
13,0.0373692,1967513926,0.153995,180,0,0
14,0.0375862,1102520059,0.164883,180,0,0
15,0.0380091,1025202362,0.174695,180,0,0
16,0.0383608,719885386,0.184633,180,0,0
17,0.0384427,1804289383,0.195755,270,51.4428,-0
18,0.0384725,846930886,0.207109,270,41.4434,-0
19,0.0387009,1189641421,0.217325,180,0,0
20,0.0395716,596516649,0.22373,180,0,0
21,0.0705671,1714636915,0.131733,270,21.4416,-0
22,0.0713522,1365180540,0.136487,180,0,0
23,0.0714967,1540383426,0.142403,180,0,0
24,0.0738438,1681692777,0.143871,270,31.4409,-0
25,0.0738649,304089172,0.149823,180,4.67368e-310,4.67368e-310
26,0.0744995,1303455736,0.154489,180,0,0
27,0.074736,2044897763,0.159923,180,0,0
28,0.0747767,1957747793,0.165756,270,11.4417,-0
29,0.0747998,424238335,0.171623,180,0,0
30,0.0758202,783368690,0.175151,180,0,0
31,0.0764817,1649760492,0.179424,180,6.20153e-91,1.17119e+166
32,0.0767888,1350490027,0.184471,180,0,0
33,0.0773692,1967513926,0.188809,180,0,0
34,0.0775862,1102520059,0.193986,180,0,0
35,0.0780091,1025202362,0.198609,180,0,0
36,0.0783608,719885386,0.203367,180,0,0
37,0.0784427,1804289383,0.208798,270,51.4424,-0
38,0.0784725,846930886,0.21436,270,41.4428,-1
39,0.0787009,1189641421,0.219362,180,0,0
40,0.0795716,596516649,0.222525,180,0,0
41,0.110567,1714636915,0.164148,270,21.4412,-1
42,0.111352,1365180540,0.166966,180,0,0
